,Pollutant,min,max,std,station_type,resample,station
57,PM2.5 - (µg/Nm3),11.4959,156.3596,29.910404988705107,amb,1h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
58,NO2 - (µg/Nm3),0.0014,41.9793,10.121800127333264,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
59,NOx - (µg/Nm3),0.0001,65.6274,13.123872446040702,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
60,PM10 - (µg/Nm3),17.5711,196.9176,40.10832662710221,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
61,PM2.5 - (µg/Nm3),11.4959,156.3596,29.910404988705107,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
62,NO2 - (µg/Nm3),0.0014,41.9793,10.121800127333264,amb,24h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
63,NOx - (µg/Nm3),0.0001,65.6274,13.123872446040702,amb,24h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
64,PM10 - (µg/Nm3),17.5711,196.9176,40.10832662710221,amb,24h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
65,PM2.5 - (µg/Nm3),11.4959,156.3596,29.910404988705103,amb,24h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
66,SO2 - (µg/Nm3),0.393,157.186,51.09998100901524,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
67,NO2 - (µg/Nm3),0.8863,15.8854,3.7367137642728627,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
68,NOx - (µg/Nm3),1.4673,26.9241,5.240214146527041,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
69,PM10 - (µg/Nm3),,,,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
70,PM2.5 - (µg/Nm3),,,,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
